Файл отчёта log_100 Servo Bench
Дата: 2025-02-19 22:54:46.7436493 GMT+3

Время	Температура	Ток	Напряжение	

15,802919	20	4	15
15,906835	21	4	15
16,003971	22	4	15
16,101185	22	4	15
16,205332	22	1	17
16,302814	22	1	17
16,406710	22	1	17
16,504061	20	1	17
16,601170	22	1	17
16,705418	22	1	17
16,802570	20	1	17
16,906734	22	1	17
17,004513	22	1	17
17,101517	22	1	17
17,205299	22	1	11
17,303860	21	1	11
17,406694	21	1	11
17,504539	20	1	11
17,601112	20	1	11
17,705202	20	1	11
17,804459	22	1	11
17,906532	22	1	11
18,003712	20	1	11
18,100935	21	1	11
18,205267	20	3	19
18,302486	22	3	19
18,407001	21	3	19
18,504230	22	3	19
18,601665	22	3	19
18,705000	22	3	19
18,802387	21	3	19
18,906563	21	3	19
19,003687	22	3	19
19,100998	20	3	19
19,205044	20	3	19
19,302227	21	3	19
19,406818	21	3	19
19,503628	20	3	19
19,601454	20	3	19
19,705847	20	3	19
19,802525	22	3	19
19,906412	21	3	19
20,003963	22	3	19
20,100746	20	3	19
20,205910	22	1	17
20,302313	22	1	17
20,406359	22	1	17
20,503637	21	1	17
20,600716	21	1	17
20,704948	22	1	17
20,802099	22	1	17
20,906321	22	1	17
21,003475	22	1	17
21,101099	20	1	17
21,205086	20	3	11
21,302330	20	3	11
21,406929	21	3	11
21,504572	22	3	11
21,601189	20	3	11
21,705193	21	3	11
21,803547	20	3	11
21,906506	21	3	11
22,003366	21	3	11
22,101290	21	3	11
22,204775	20	3	11
22,301962	21	3	11
22,406540	20	3	11
22,503309	21	3	11
22,601177	22	3	11
22,705191	22	3	11
22,801926	21	3	11
22,906315	21	3	11
23,003447	20	3	11
23,100498	20	3	11
23,204926	21	4	21
23,301846	21	4	21
23,406458	21	4	21
23,503166	21	4	21
23,600611	21	4	21
23,704653	20	4	21
23,801985	20	4	21
23,907085	21	4	21
24,003155	20	4	21
24,100491	21	4	21
24,204590	22	4	21
24,301737	21	3	8
24,406736	21	3	8
24,503649	20	3	8
24,600239	22	3	8
24,704626	22	3	8
24,801769	22	3	8
24,900023	22	3	8
25,002977	22	3	8
25,100393	20	3	8
25,204346	21	3	8
25,301588	22	3	9
25,405773	22	3	9
25,504131	22	3	9
25,601286	22	3	9
25,705471	22	3	9
25,802910	21	3	9
25,900806	21	3	9
26,004112	22	3	9
26,101000	21	3	9
26,205202	22	3	9
26,301775	22	1	14
26,406069	22	1	14
26,503288	22	1	14
26,601538	21	1	14
26,704586	21	1	14
26,802084	22	1	14
26,906446	21	1	14
27,003542	21	1	14
27,100368	22	1	14
27,204853	21	1	14
27,301836	20	2	12
27,400747	21	2	12
27,503099	22	2	12
27,600361	21	2	12
27,704430	22	2	12
27,801628	21	2	12
27,905933	20	2	12
28,003654	21	2	12
28,100615	22	2	12
28,204622	20	2	12
28,301497	20	2	9
28,405968	20	2	9
28,503122	22	2	9
28,600132	20	2	9
28,705074	21	2	9
28,801580	20	2	9
28,906073	22	2	9
29,003254	20	2	9
29,100149	21	2	9
29,204559	22	2	9
29,301453	22	1	17
29,405680	21	1	17
29,502855	22	1	17
29,607197	22	1	17
29,704243	20	1	17
29,801464	21	1	17
29,905937	21	1	17
30,003199	20	1	17
30,100574	21	1	17
30,204622	20	1	17
30,301748	22	4	17
30,405943	22	4	17
30,502823	22	4	17
30,600525	22	4	17
30,704361	20	4	17
30,801962	21	4	17
30,905474	22	4	17
31,003355	20	4	17
31,100069	22	4	17
31,204105	20	4	17
31,301195	21	2	9
31,405460	22	2	9
31,502571	21	2	9
31,606768	21	2	9
31,704367	22	2	9
31,801168	20	2	9
31,905537	20	2	9
32,002563	20	2	9
32,107136	22	2	9
32,204201	20	2	9
32,301159	21	3	11
32,405499	20	3	11
32,502487	20	3	11
32,606750	21	3	11
32,704243	21	3	11
32,801319	22	3	11
32,905499	21	3	11
33,002411	20	3	11
33,106556	21	3	11
33,203892	20	3	11
33,301178	21	4	13
33,405308	22	4	13
33,502789	22	4	13
33,606678	21	4	13
33,704079	22	4	13
33,801048	22	4	13
33,906075	20	4	13
34,002796	21	4	13
34,100170	21	4	13
34,204288	22	4	13
34,301441	20	2	15
34,405296	21	2	15
34,502590	20	2	15
34,606800	22	2	15
34,703896	22	2	15
34,800850	22	2	15
34,905075	20	2	15
35,002350	21	2	15
35,106724	22	2	15
35,203995	22	2	15
35,300869	21	2	15
35,405052	22	1	19
35,502632	20	1	19
35,606518	20	1	19
35,703545	21	1	19
35,800789	21	1	19
35,905071	20	1	19
36,002499	22	1	19
36,106258	20	1	19
36,203526	22	1	19
36,300716	22	1	19
36,404873	22	4	14
36,502182	20	4	14
36,606228	20	4	14
36,703560	20	4	14
36,800671	21	4	14
36,904808	20	4	14
37,002148	20	4	14
37,106480	20	4	14
37,203400	20	4	14
37,300583	21	4	14
37,404755	20	4	9
37,502083	20	4	9
37,606144	22	4	9
37,703259	21	4	9
37,801048	20	4	9
37,904690	20	4	9
38,002014	20	4	9
38,106117	20	4	9
38,203461	20	4	9
38,300888	20	4	9
38,404999	21	1	10
38,501919	22	1	10
38,606365	22	1	10
38,703236	21	1	10
38,801174	20	1	10
38,904625	21	1	10
39,002472	21	1	10
39,106056	20	1	10
39,203869	20	1	10
39,300545	20	1	10
39,405453	21	1	21
39,502140	22	1	21
39,606495	21	1	21
39,703236	22	1	21
39,800453	22	1	21
39,904972	21	1	21
40,001862	22	1	21
40,106003	20	1	21
40,203094	22	1	21
40,300381	20	1	21
40,404469	20	1	18
40,501896	20	1	18
